,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
1,2019,401554180,20191960498,201906,49000,61.79066835,6,793,1951,9,0,0,51267,51267,49985,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_08.PDF,0.155122,-112.8592656,32.37769019,www.tucsonaz.gov/pro/pdsd/parcel_search/401554180,http://gis.pima.gov/maps/detail.cfm?p=401554180,17517
3,2019,401554100,20190300552,201901,50500,63.68221942,6,793,1951,9,0,0,53101,53101,51773,20061129,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_08.PDF,0.14996301,-112.8614391,32.37827588,www.tucsonaz.gov/pro/pdsd/parcel_search/401554100,http://gis.pima.gov/maps/detail.cfm?p=401554100,85321
5,2019,401553650,20191970632,201907,58000,63.11207835,6,919,1953,3,1,0,60223,60223,58717,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_06.PDF,0.15843999,-112.8599698,32.37984171,www.tucsonaz.gov/pro/pdsd/parcel_search/401553650,http://gis.pima.gov/maps/detail.cfm?p=401553650,85321
8,2019,401553040,20190790260,201903,165000,105.9050064,10,1558,1969,1,3,0,109127,109127,106944,20180731,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_03.PDF,1.74711001,-112.8600435,32.38429228,www.tucsonaz.gov/pro/pdsd/parcel_search/401553040,http://gis.pima.gov/maps/detail.cfm?p=401553040,85321
9,2019,401552990,20190310520,201901,185000,112.1212121,11,1650,1930,6,2,0,114921,114921,110324,20170406,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_11.PDF,0.52354997,-112.8657383,32.36796124,www.tucsonaz.gov/pro/pdsd/parcel_search/401552990,http://gis.pima.gov/maps/detail.cfm?p=401552990,85321
10,2019,401552600,20191900155,201907,51750,60.1744186,6,860,1948,9,0,0,52763,52763,51444,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_10.PDF,0.154825,-112.8667266,32.37001407,www.tucsonaz.gov/pro/pdsd/parcel_search/401552600,http://gis.pima.gov/maps/detail.cfm?p=401552600,81147
11,2019,401552590,20191430576,201904,50000,64.1025641,6,780,1948,9,0,0,52008,52008,50708,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_10.PDF,0.154736,-112.866806,32.36988184,www.tucsonaz.gov/pro/pdsd/parcel_search/401552590,http://gis.pima.gov/maps/detail.cfm?p=401552590,83611
15,2019,401551820,20191511291,201905,89500,65.80882353,6,1360,1962,9,0,0,74313,74313,72455,20181115,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_05.PDF,0.155203,-112.8632191,32.37955439,www.tucsonaz.gov/pro/pdsd/parcel_search/401551820,http://gis.pima.gov/maps/detail.cfm?p=401551820,85321
20,2019,401550360,20191140352,201903,88900,68.59567901,6,1296,1973,3,1,0,80544,80544,78933,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.18366501,-112.8629675,32.38754534,www.tucsonaz.gov/pro/pdsd/parcel_search/401550360,http://gis.pima.gov/maps/detail.cfm?p=401550360,85321
21,2019,401550220,20190730597,201901,114000,87.96296296,8,1296,1973,1,2,0,92106,92106,90264,20091109,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.22018801,-112.8632536,32.38795227,www.tucsonaz.gov/pro/pdsd/parcel_search/401550220,http://gis.pima.gov/maps/detail.cfm?p=401550220,85321
23,2019,401550050,20191580750,201903,112500,86.80555556,8,1296,1973,1,1,0,81009,81009,79389,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP39/39057_01.PDF,0.18572401,-112.8614982,32.3887023,www.tucsonaz.gov/pro/pdsd/parcel_search/401550050,http://gis.pima.gov/maps/detail.cfm?p=401550050,85321
24,2019,40138037C,20191690253,201905,69000,84.55882353,8,816,1962,3,1,0,52203,52203,47505,20150126,http://www.asr.pima.gov/ParcelData/Map/Arm/T13S/1305W253.PDF,1.25855005,-112.7428766,32.26297468,www.tucsonaz.gov/pro/pdsd/parcel_search/40138037C,http://gis.pima.gov/maps/detail.cfm?p=40138037C,85321
27,2019,401260300,20190840383,201902,135000,99.85207101,9,1352,1965,3,2,0,72699,72699,86512,20100708,http://www.asr.pima.gov/ParcelData/Map/Arm/MP09/09058_02.PDF,0.387431,-112.8797963,32.37274825,www.tucsonaz.gov/pro/pdsd/parcel_search/401260300,http://gis.pima.gov/maps/detail.cfm?p=401260300,85321
28,2019,401260110,20190450530,201901,140000,83.33333333,8,1680,1959,1,1,0,82035,82035,97622,19970602,http://www.asr.pima.gov/ParcelData/Map/Arm/MP09/09058_01.PDF,0.32347399,-112.8808197,32.37300455,www.tucsonaz.gov/pro/pdsd/parcel_search/401260110,http://gis.pima.gov/maps/detail.cfm?p=401260110,85321
30,2019,401251210,20190880210,201903,10000,16.94915254,1,590,1937,3,1,0,40518,40518,38492,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_02.PDF,0.155001,-112.869564,32.37594721,www.tucsonaz.gov/pro/pdsd/parcel_search/401251210,http://gis.pima.gov/maps/detail.cfm?p=401251210,85321
31,2019,401251110,20192060487,201907,49250,98.10756972,9,502,1937,9,0,0,35099,35099,33344,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_03.PDF,0.153915,-112.8685513,32.3759933,www.tucsonaz.gov/pro/pdsd/parcel_search/401251110,http://gis.pima.gov/maps/detail.cfm?p=401251110,85341
32,2019,401250820,20190500395,201902,75000,96.15384615,9,780,1937,3,1,0,45350,45350,43083,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_04.PDF,0.155883,-112.865853,32.37611572,www.tucsonaz.gov/pro/pdsd/parcel_search/401250820,http://gis.pima.gov/maps/detail.cfm?p=401250820,85321
34,2019,401250600,20190730629,201903,58500,111.4285714,11,525,1937,9,0,0,35711,35711,33925,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_04.PDF,0.149817,-112.865829,32.3755801,www.tucsonaz.gov/pro/pdsd/parcel_search/401250600,http://gis.pima.gov/maps/detail.cfm?p=401250600,85321
35,2019,401250540,20190640554,201902,50000,71.83908046,7,696,1937,1,2,0,49033,49033,46581,20150128,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_04.PDF,0.154111,-112.8652695,32.37520658,www.tucsonaz.gov/pro/pdsd/parcel_search/401250540,http://gis.pima.gov/maps/detail.cfm?p=401250540,55051
37,2019,401250330,20190510483,201902,64000,59.25925926,5,1080,1926,3,1,0,39895,39895,35906,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_03.PDF,0.15240701,-112.8683446,32.37546724,www.tucsonaz.gov/pro/pdsd/parcel_search/401250330,http://gis.pima.gov/maps/detail.cfm?p=401250330,85321
38,2019,401250310,20191550176,201903,80000,94.00705053,9,851,2000,9,0,0,57081,57081,54227,20100715,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_03.PDF,0.15296701,-112.8686917,32.37545184,www.tucsonaz.gov/pro/pdsd/parcel_search/401250310,http://gis.pima.gov/maps/detail.cfm?p=401250310,83714
39,2019,401250310,20191550176,201903,80000,94.00705053,9,851,2000,9,0,0,57081,57081,54227,20100715,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_03.PDF,0.15296701,-112.8686917,32.37545184,www.tucsonaz.gov/pro/pdsd/parcel_search/401250310,http://gis.pima.gov/maps/detail.cfm?p=401250310,83714
40,2019,401241180,20191820139,201906,52500,55.26315789,5,950,1948,9,0,0,46418,46418,44097,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06072_01.PDF,0.152592,-112.8701973,32.37257221,www.tucsonaz.gov/pro/pdsd/parcel_search/401241180,http://gis.pima.gov/maps/detail.cfm?p=401241180,92593
44,2019,40123217A,20191510384,201905,95000,117.2839506,11,810,1948,3,2,0,60714,60714,57678,20090219,http://www.asr.pima.gov/ParcelData/Map/Arm/MP03/03061_la.PDF,0.159725,-112.8636827,32.36956329,www.tucsonaz.gov/pro/pdsd/parcel_search/40123217A,http://gis.pima.gov/maps/detail.cfm?p=40123217A,85321
45,2019,401231740,20190840364,201902,107500,81.93597561,8,1312,1919,1,2,0,74182,74182,80858,20111214,http://www.asr.pima.gov/ParcelData/Map/Arm/MP03/03061_la.PDF,0.154695,-112.8640549,32.37047171,www.tucsonaz.gov/pro/pdsd/parcel_search/401231740,http://gis.pima.gov/maps/detail.cfm?p=401231740,85321
47,2019,401231390,20190380293,201902,14000,16.70644391,1,838,1920,9,0,0,47908,47908,45513,20090918,http://www.asr.pima.gov/ParcelData/Map/Arm/MP03/03061_la.PDF,0.15281101,-112.8645723,32.37470195,www.tucsonaz.gov/pro/pdsd/parcel_search/401231390,http://gis.pima.gov/maps/detail.cfm?p=401231390,85341
48,2019,401230920,20191300635,201903,52000,64.51612903,6,806,1948,9,0,0,42933,42933,40786,19970604,http://www.asr.pima.gov/ParcelData/Map/Arm/MP03/03061_01.PDF,0.158833,-112.862375,32.37121448,www.tucsonaz.gov/pro/pdsd/parcel_search/401230920,http://gis.pima.gov/maps/detail.cfm?p=401230920,85321
49,2019,401230790,20190160248,201901,60000,74.44168734,7,806,1948,1,2,0,57936,57936,63150,20150115,http://www.asr.pima.gov/ParcelData/Map/Arm/MP03/03061_01.PDF,0.156578,-112.8608533,32.37169328,www.tucsonaz.gov/pro/pdsd/parcel_search/401230790,http://gis.pima.gov/maps/detail.cfm?p=401230790,43787
52,2019,401171890,20190580172,201901,150000,138.6321627,13,1082,2011,1,2,0,100643,100643,94604,20160115,http://www.asr.pima.gov/ParcelData/Map/Arm/T12S/1206W15.PDF,1.32877004,-112.8795642,32.38808353,www.tucsonaz.gov/pro/pdsd/parcel_search/401171890,http://gis.pima.gov/maps/detail.cfm?p=401171890,85321
53,2019,401171890,20190580172,201901,150000,138.6321627,13,1082,2011,1,2,0,100643,100643,94604,20160115,http://www.asr.pima.gov/ParcelData/Map/Arm/T12S/1206W15.PDF,1.32877004,-112.8795642,32.38808353,www.tucsonaz.gov/pro/pdsd/parcel_search/401171890,http://gis.pima.gov/maps/detail.cfm?p=401171890,85321
55,2019,401170960,20191500877,201905,85000,59.15100905,5,1437,1964,3,1,0,60449,60449,57427,20041227,http://www.asr.pima.gov/ParcelData/Map/Arm/MP09/09049_03.PDF,0.242644,-112.8756904,32.3830375,www.tucsonaz.gov/pro/pdsd/parcel_search/401170960,http://gis.pima.gov/maps/detail.cfm?p=401170960,85321
57,2019,401140570,20190380174,201901,27500,48.33040422,4,569,1937,9,0,0,34424,34424,32703,20091221,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06080_0B.PDF,0.44859901,-112.87605,32.37620354,www.tucsonaz.gov/pro/pdsd/parcel_search/401140570,http://gis.pima.gov/maps/detail.cfm?p=401140570,97523
59,2019,401140070,20191290384,201904,70000,88.60759494,8,790,1969,9,0,0,43528,43528,51798,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP17/17037.PDF,0.160557,-112.874616,32.37757408,www.tucsonaz.gov/pro/pdsd/parcel_search/401140070,http://gis.pima.gov/maps/detail.cfm?p=401140070,85321
60,2019,401132280,20190950674,201904,115000,87.05526117,8,1321,1972,1,1,0,81523,81523,79893,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP21/21024.PDF,0.191286,-112.8652901,32.38413196,www.tucsonaz.gov/pro/pdsd/parcel_search/401132280,http://gis.pima.gov/maps/detail.cfm?p=401132280,85321
61,2019,401132280,20191790041,201906,115000,87.05526117,8,1321,1972,1,1,0,81523,81523,79893,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP21/21024.PDF,0.191286,-112.8652901,32.38413196,www.tucsonaz.gov/pro/pdsd/parcel_search/401132280,http://gis.pima.gov/maps/detail.cfm?p=401132280,85321
62,2019,401132000,20191280650,201905,100000,81.83306056,8,1222,1970,1,1,0,77018,77018,75478,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/MP20/20078.PDF,0.19423699,-112.8653613,32.3821442,www.tucsonaz.gov/pro/pdsd/parcel_search/401132000,http://gis.pima.gov/maps/detail.cfm?p=401132000,85321
68,2019,401130240,20191010556,201904,72000,51.68700646,5,1393,1967,9,0,0,58482,58482,69594,19970602,http://www.asr.pima.gov/ParcelData/Map/Arm/MP06/06025_03.PDF,0.16230901,-112.87034,32.38101613,www.tucsonaz.gov/pro/pdsd/parcel_search/401130240,http://gis.pima.gov/maps/detail.cfm?p=401130240,85321
70,2019,401120370,20191120690,201904,88672,63.47315676,6,1397,1961,9,0,0,62400,62400,56784,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/T12S/1206W151.PDF,0.40376601,-112.8686019,32.38207292,www.tucsonaz.gov/pro/pdsd/parcel_search/401120370,http://gis.pima.gov/maps/detail.cfm?p=401120370,85321
71,2019,40112032D,20190720531,201901,92500,100.9825328,10,916,1963,3,1,0,64961,64961,59115,19970605,http://www.asr.pima.gov/ParcelData/Map/Arm/T12S/1206W151.PDF,0.94796199,-112.8676429,32.38411529,www.tucsonaz.gov/pro/pdsd/parcel_search/40112032D,http://gis.pima.gov/maps/detail.cfm?p=40112032D,85321
73,2019,40106017A,20191440296,201905,167000,93.50503919,9,1786,1973,1,1,0,101271,101271,95195,19970603,http://www.asr.pima.gov/ParcelData/Map/Arm/T12S/1206W101.PDF,3.09302998,-112.8711757,32.39868836,www.tucsonaz.gov/pro/pdsd/parcel_search/40106017A,http://gis.pima.gov/maps/detail.cfm?p=40106017A,85321
81,2019,30638008D,20192180419,201908,456000,185.3658537,118,2460,2013,1,3,0,318108,318108,321289,20130802,http://www.asr.pima.gov/ParcelData/Map/Arm/T16S/M161720.PDF,3.56561995,-110.6263337,32.02355389,www.tucsonaz.gov/pro/pdsd/parcel_search/30638008D,http://gis.pima.gov/maps/detail.cfm?p=30638008D,85641
83,2019,30617002R,20191350774,201903,495000,137.4618162,13,3601,2005,1,3,450,390225,390225,425345,20090219,http://www.asr.pima.gov/ParcelData/Map/Arm/T17S/1717E31.PDF,5.02027988,-110.6485293,31.9141978,www.tucsonaz.gov/pro/pdsd/parcel_search/30617002R,http://gis.pima.gov/maps/detail.cfm?p=30617002R,85641
84,2019,306100810,20190580638,201901,295000,113.4615385,11,2600,2007,1,3,0,266815,266815,274819,20170530,http://www.asr.pima.gov/ParcelData/Map/Arm/T16S/1618E36.PDF,4.3663702,-110.4613674,32.00516592,www.tucsonaz.gov/pro/pdsd/parcel_search/306100810,http://gis.pima.gov/maps/detail.cfm?p=306100810,85602
85,2019,305980830,20190591001,201901,270000,121.4574899,12,2223,2018,1,2,0,235811,235811,247602,20190111,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2014/20141350560.PDF,0.137586,-110.7596757,31.93865401,www.tucsonaz.gov/pro/pdsd/parcel_search/305980830,http://gis.pima.gov/maps/detail.cfm?p=305980830,85641
86,2019,305980050,20190880743,201903,315000,108.0988332,10,2914,2018,1,3,0,274961,274961,288709,20190111,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2014/20141350560_01.PDF,0.179906,-110.7633564,31.94216675,www.tucsonaz.gov/pro/pdsd/parcel_search/305980050,http://gis.pima.gov/maps/detail.cfm?p=305980050,85641
87,2019,305980040,20190440245,201901,318000,109.1283459,10,2914,2018,1,3,0,274961,274961,288709,20190110,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2014/20141350560.PDF,0.181132,-110.7632874,31.94231665,www.tucsonaz.gov/pro/pdsd/parcel_search/305980040,http://gis.pima.gov/maps/detail.cfm?p=305980040,85641
88,2019,305902370,20191540239,201903,434000,148.6810552,14,2919,2006,1,3,450,344568,344568,344568,20130220,http://www.asr.pima.gov/ParcelData/Map/Arm/MP57/57052_04.PDF,0.46229199,-110.6840172,32.05999611,www.tucsonaz.gov/pro/pdsd/parcel_search/305902370,http://gis.pima.gov/maps/detail.cfm?p=305902370,85641
89,2019,305902230,20191690585,201905,360000,134.5794393,13,2675,2006,1,3,0,300597,300597,300597,20060721,http://www.asr.pima.gov/ParcelData/Map/Arm/MP57/57052_02.PDF,0.478542,-110.6840245,32.06138375,www.tucsonaz.gov/pro/pdsd/parcel_search/305902230,http://gis.pima.gov/maps/detail.cfm?p=305902230,85641
90,2019,305901880,20192050096,201906,465000,139.5139514,13,3333,2006,1,3,450,386413,386413,386413,20081216,http://www.asr.pima.gov/ParcelData/Map/Arm/MP57/57052_02.PDF,0.463781,-110.6813789,32.06079631,www.tucsonaz.gov/pro/pdsd/parcel_search/305901880,http://gis.pima.gov/maps/detail.cfm?p=305901880,85641
91,2019,305901660,20191060241,201903,459000,137.7137714,13,3333,2005,1,3,450,384829,384829,384829,20061222,http://www.asr.pima.gov/ParcelData/Map/Arm/MP57/57052_01.PDF,0.47169399,-110.6879925,32.06166849,www.tucsonaz.gov/pro/pdsd/parcel_search/305901660,http://gis.pima.gov/maps/detail.cfm?p=305901660,85641
93,2019,305901600,20191210139,201903,284000,148.1481481,14,1917,2005,1,2,450,232477,232477,246426,20140506,http://www.asr.pima.gov/ParcelData/Map/Arm/MP56/56090_02.PDF,0.44472399,-110.6860123,32.05458488,www.tucsonaz.gov/pro/pdsd/parcel_search/305901600,http://gis.pima.gov/maps/detail.cfm?p=305901600,85641
94,2019,305901570,20191570474,201905,299000,162.0596206,16,1845,2005,1,2,450,226986,226986,240605,20161116,http://www.asr.pima.gov/ParcelData/Map/Arm/MP56/56090_02.PDF,0.468981,-110.6871286,32.05447979,www.tucsonaz.gov/pro/pdsd/parcel_search/305901570,http://gis.pima.gov/maps/detail.cfm?p=305901570,88061
95,2019,305901020,20191790139,201906,267000,166.7707683,16,1601,2005,1,2,0,190299,190299,201717,20050726,http://www.asr.pima.gov/ParcelData/Map/Arm/MP56/56090_01.PDF,0.315887,-110.6874093,32.05845009,www.tucsonaz.gov/pro/pdsd/parcel_search/305901020,http://gis.pima.gov/maps/detail.cfm?p=305901020,85641
103,2019,305751300,20191150517,201901,264518,140.1791203,14,1887,2018,1,2,0,221750,221750,228403,20180821,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.123693,-110.6901056,32.06576813,www.tucsonaz.gov/pro/pdsd/parcel_search/305751300,http://gis.pima.gov/maps/detail.cfm?p=305751300,85641
104,2019,305751260,20191830270,201906,245000,150.3067485,15,1630,2018,1,2,0,199703,199703,205694,20181221,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.123963,-110.6906865,32.06576783,www.tucsonaz.gov/pro/pdsd/parcel_search/305751260,http://gis.pima.gov/maps/detail.cfm?p=305751260,85641
105,2019,305751190,20191130282,201902,298000,115.2358855,11,2586,2018,1,2,0,256689,256689,264390,20181030,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.114504,-110.6911412,32.06623335,www.tucsonaz.gov/pro/pdsd/parcel_search/305751190,http://gis.pima.gov/maps/detail.cfm?p=305751190,85641
106,2019,305751140,20191650385,201905,297500,124.217119,12,2395,2018,1,2,0,247927,247927,255365,20180821,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009_01.PDF,0.123969,-110.6904158,32.06622166,www.tucsonaz.gov/pro/pdsd/parcel_search/305751140,http://gis.pima.gov/maps/detail.cfm?p=305751140,85641
111,2019,305751030,20191500304,201905,265000,114.6689745,11,2311,2019,1,2,0,237501,237501,258876,20190103,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009_01.PDF,0.138815,-110.6917329,32.06668911,www.tucsonaz.gov/pro/pdsd/parcel_search/305751030,http://gis.pima.gov/maps/detail.cfm?p=305751030,85641
112,2019,305751020,20190580744,201902,224000,142.1319797,14,1576,2018,1,2,0,181852,181852,198219,20181227,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009_01.PDF,0.128526,-110.6917482,32.06682437,www.tucsonaz.gov/pro/pdsd/parcel_search/305751020,http://gis.pima.gov/maps/detail.cfm?p=305751020,85641
113,2019,305751000,20190310471,201901,249990,124.1877794,12,2013,2018,1,2,0,210007,210007,228908,20181029,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009_01.PDF,0.14300001,-110.6917284,32.0670999,www.tucsonaz.gov/pro/pdsd/parcel_search/305751000,http://gis.pima.gov/maps/detail.cfm?p=305751000,85641
114,2019,305750970,20191260600,201905,255384,126.8673621,12,2013,2018,1,2,0,210007,210007,228908,20181224,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009_01.PDF,0.13773599,-110.6910901,32.06700422,www.tucsonaz.gov/pro/pdsd/parcel_search/305750970,http://gis.pima.gov/maps/detail.cfm?p=305750970,85641
123,2019,305750810,20190560484,201901,268990,116.3954998,11,2311,2018,1,2,0,237501,237501,258876,20181029,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.157823,-110.6917289,32.06787618,www.tucsonaz.gov/pro/pdsd/parcel_search/305750810,http://gis.pima.gov/maps/detail.cfm?p=305750810,85641
124,2019,305750150,20191710722,201906,265990,132.1361153,13,2013,2018,1,2,0,210007,210007,228908,20181221,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.137252,-110.6903007,32.06778901,www.tucsonaz.gov/pro/pdsd/parcel_search/305750150,http://gis.pima.gov/maps/detail.cfm?p=305750150,85641
125,2019,305750100,20190500543,201901,263990,131.1425733,13,2013,2018,1,2,0,210007,210007,228908,20181029,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20170890009.PDF,0.12690599,-110.6896392,32.0674034,www.tucsonaz.gov/pro/pdsd/parcel_search/305750100,http://gis.pima.gov/maps/detail.cfm?p=305750100,85641
127,2019,305737440,20190290116,201901,267000,138.4854772,13,1928,2018,1,2,0,228293,228293,235142,20181226,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2017/20172440173.PDF,0.13773599,-110.694056,32.06478652,www.tucsonaz.gov/pro/pdsd/parcel_search/305737440,http://gis.pima.gov/maps/detail.cfm?p=305737440,85641
139,2019,305735390,20191680769,201906,275000,138.8187784,13,1981,2017,1,2,0,226936,226936,233744,20170320,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_03.PDF,0.178844,-110.7033578,32.06554302,www.tucsonaz.gov/pro/pdsd/parcel_search/305735390,http://gis.pima.gov/maps/detail.cfm?p=305735390,85641
140,2019,305734150,20191630208,201905,218000,147.8968792,14,1474,2016,1,2,0,174232,174232,179459,20160412,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_01.PDF,0.0915946,-110.6942019,32.06810928,www.tucsonaz.gov/pro/pdsd/parcel_search/305734150,http://gis.pima.gov/maps/detail.cfm?p=305734150,85641
141,2019,305734000,20191060348,201903,227500,154.3419267,15,1474,2014,1,2,0,171530,171530,176676,20140324,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_01.PDF,0.0911396,-110.6956687,32.06807333,www.tucsonaz.gov/pro/pdsd/parcel_search/305734000,http://gis.pima.gov/maps/detail.cfm?p=305734000,85641
142,2019,305733940,20191080125,201903,224000,142.1319797,14,1576,2016,1,2,0,182764,182764,188247,20160226,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_01.PDF,0.0915943,-110.6951257,32.06841509,www.tucsonaz.gov/pro/pdsd/parcel_search/305733940,http://gis.pima.gov/maps/detail.cfm?p=305733940,85641
143,2019,305733790,20192000512,201907,226821,153.8812754,15,1474,2015,1,2,0,172768,172768,177951,20151116,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077.PDF,0.0915944,-110.6950137,32.06912946,www.tucsonaz.gov/pro/pdsd/parcel_search/305733790,http://gis.pima.gov/maps/detail.cfm?p=305733790,20723
144,2019,305733730,20191780746,201905,229500,145.6218274,14,1576,2016,1,2,0,182764,182764,188247,20160914,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_01.PDF,0.0915948,-110.6942003,32.06912762,www.tucsonaz.gov/pro/pdsd/parcel_search/305733730,http://gis.pima.gov/maps/detail.cfm?p=305733730,85641
145,2019,305733530,20191080561,201904,130000,82.48730964,8,1576,2016,1,2,0,182764,182764,188247,20160226,http://www.asr.pima.gov/ParcelData/Map/Arm/SQ2011/20112850077_01.PDF,0.0915948,-110.6952542,32.06913,www.tucsonaz.gov/pro/pdsd/parcel_search/305733530,http://gis.pima.gov/maps/detail.cfm?p=305733530,85712
146,2019,305733160,20190220733,201901,200000,165.0165017,16,1212,2008,1,2,0,138326,138326,145242,20081021,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010.PDF,0.09207,-110.6961807,32.06950365,www.tucsonaz.gov/pro/pdsd/parcel_search/305733160,http://gis.pima.gov/maps/detail.cfm?p=305733160,56601
147,2019,305732450,20190520236,201901,270000,135.5421687,13,1992,2009,1,2,0,202132,202132,212239,20090327,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.114975,-110.7015218,32.06918399,www.tucsonaz.gov/pro/pdsd/parcel_search/305732450,http://gis.pima.gov/maps/detail.cfm?p=305732450,85641
148,2019,305731890,20190670132,201901,320000,134.8504003,13,2373,2014,1,3,0,247895,247895,260290,20141016,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.15229601,-110.6988874,32.0680616,www.tucsonaz.gov/pro/pdsd/parcel_search/305731890,http://gis.pima.gov/maps/detail.cfm?p=305731890,85641
149,2019,305731880,20191410336,201904,314900,132.7012221,13,2373,2014,1,3,0,247895,247895,260290,20140320,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.15229601,-110.6990816,32.06806203,www.tucsonaz.gov/pro/pdsd/parcel_search/305731880,http://gis.pima.gov/maps/detail.cfm?p=305731880,85641
150,2019,305731750,20190810632,201902,260000,128.9043133,12,2017,2017,1,2,0,215386,215386,226155,20170517,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.161909,-110.701387,32.06761678,www.tucsonaz.gov/pro/pdsd/parcel_search/305731750,http://gis.pima.gov/maps/detail.cfm?p=305731750,85641
151,2019,305731620,20191300437,201904,385000,149.7471801,14,2571,2016,1,3,0,266756,266756,280094,20160222,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.15229701,-110.7008003,32.06688779,www.tucsonaz.gov/pro/pdsd/parcel_search/305731620,http://gis.pima.gov/maps/detail.cfm?p=305731620,85641
152,2019,30573158B,20190660091,201902,235000,159.4301221,15,1474,2015,1,2,0,164450,164450,172673,20150217,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.17352501,-110.700201,32.06761078,www.tucsonaz.gov/pro/pdsd/parcel_search/30573158B,http://gis.pima.gov/maps/detail.cfm?p=30573158B,85641
153,2019,305731550,20192120219,201901,315000,165.3543307,16,1905,2013,1,2,0,199957,199957,209955,20130812,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.15229601,-110.6997148,32.06734007,www.tucsonaz.gov/pro/pdsd/parcel_search/305731550,http://gis.pima.gov/maps/detail.cfm?p=305731550,85641
154,2019,305731540,20191370048,201903,328040,204.8969394,20,1601,2013,1,2,0,176886,176886,185730,20130812,http://www.asr.pima.gov/ParcelData/Map/Arm/MP63/63010_CT.PDF,0.151915,-110.6997158,32.06717489,www.tucsonaz.gov/pro/pdsd/parcel_search/305731540,http://gis.pima.gov/maps/detail.cfm?p=305731540,86003
