,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
9737,2019,114231040,20191480797,201905,196000,117.2248804,11,1672,1977,3,2,0,207504,207504,211654,19900130,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.01725996,-110.7599209,32.28611265,www.tucsonaz.gov/pro/pdsd/parcel_search/114231040,http://gis.pima.gov/maps/detail.cfm?p=114231040,85749
9738,2019,114231040,20191480797,201905,196000,117.2248804,11,1672,1977,3,2,0,207504,207504,211654,19900130,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.01725996,-110.7599209,32.28611265,www.tucsonaz.gov/pro/pdsd/parcel_search/114231040,http://gis.pima.gov/maps/detail.cfm?p=114231040,85749
9739,2019,114231040,20191480797,201905,196000,117.2248804,11,1672,1977,3,2,0,207504,207504,211654,19900130,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.01725996,-110.7599209,32.28611265,www.tucsonaz.gov/pro/pdsd/parcel_search/114231040,http://gis.pima.gov/maps/detail.cfm?p=114231040,85749
9740,2019,114230800,20191290726,201903,305000,184.401451,118,1654,1977,3,2,0,210623,210623,214835,20020925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.03977001,-110.7574571,32.28714858,www.tucsonaz.gov/pro/pdsd/parcel_search/114230800,http://gis.pima.gov/maps/detail.cfm?p=114230800,85749
9741,2019,114230800,20191290726,201903,305000,184.401451,118,1654,1977,3,2,0,210623,210623,214835,20020925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.03977001,-110.7574571,32.28714858,www.tucsonaz.gov/pro/pdsd/parcel_search/114230800,http://gis.pima.gov/maps/detail.cfm?p=114230800,85749
9742,2019,114230800,20191290726,201903,305000,184.401451,118,1654,1977,3,2,0,210623,210623,214835,20020925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.03977001,-110.7574571,32.28714858,www.tucsonaz.gov/pro/pdsd/parcel_search/114230800,http://gis.pima.gov/maps/detail.cfm?p=114230800,85749
9743,2019,114230800,20191290726,201903,305000,184.401451,118,1654,1977,3,2,0,210623,210623,214835,20020925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.03977001,-110.7574571,32.28714858,www.tucsonaz.gov/pro/pdsd/parcel_search/114230800,http://gis.pima.gov/maps/detail.cfm?p=114230800,85749
9744,2019,114230800,20191290726,201903,305000,184.401451,118,1654,1977,3,2,0,210623,210623,214835,20020925,http://www.asr.pima.gov/ParcelData/Map/Arm/MP27/27085.pdf,1.03977001,-110.7574571,32.28714858,www.tucsonaz.gov/pro/pdsd/parcel_search/114230800,http://gis.pima.gov/maps/detail.cfm?p=114230800,85749
9745,2019,114230690,20191920434,201906,399000,160.3697749,16,2488,1976,1,2,450,309582,309582,315774,20041215,http://www.asr.pima.gov/ParcelData/Map/Arm/MP26/26056.pdf,1.02187002,-110.7663525,32.28512562,www.tucsonaz.gov/pro/pdsd/parcel_search/114230690,http://gis.pima.gov/maps/detail.cfm?p=114230690,85749
9746,2019,114230690,20191920434,201906,399000,160.3697749,16,2488,1976,1,2,450,309582,309582,315774,20041215,http://www.asr.pima.gov/ParcelData/Map/Arm/MP26/26056.pdf,1.02187002,-110.7663525,32.28512562,www.tucsonaz.gov/pro/pdsd/parcel_search/114230690,http://gis.pima.gov/maps/detail.cfm?p=114230690,85749
9747,2019,114230690,20191920434,201906,399000,160.3697749,16,2488,1976,1,2,450,309582,309582,315774,20041215,http://www.asr.pima.gov/ParcelData/Map/Arm/MP26/26056.pdf,1.02187002,-110.7663525,32.28512562,www.tucsonaz.gov/pro/pdsd/parcel_search/114230690,http://gis.pima.gov/maps/detail.cfm?p=114230690,85749
9748,2019,114230690,20191920434,201906,399000,160.3697749,16,2488,1976,1,2,450,309582,309582,315774,20041215,http://www.asr.pima.gov/ParcelData/Map/Arm/MP26/26056.pdf,1.02187002,-110.7663525,32.28512562,www.tucsonaz.gov/pro/pdsd/parcel_search/114230690,http://gis.pima.gov/maps/detail.cfm?p=114230690,85749
9749,2019,114230690,20191920434,201906,399000,160.3697749,16,2488,1976,1,2,450,309582,309582,315774,20041215,http://www.asr.pima.gov/ParcelData/Map/Arm/MP26/26056.pdf,1.02187002,-110.7663525,32.28512562,www.tucsonaz.gov/pro/pdsd/parcel_search/114230690,http://gis.pima.gov/maps/detail.cfm?p=114230690,85749
9750,2019,114213960,20190590115,201902,525000,171.7931937,17,3056,1999,1,3,450,438069,438069,459972,20001006,http://www.asr.pima.gov/ParcelData/Map/Arm/MP45/45021_01.pdf,0.71512699,-110.7815397,32.28907348,www.tucsonaz.gov/pro/pdsd/parcel_search/114213960,http://gis.pima.gov/maps/detail.cfm?p=114213960,85749
9751,2019,11421350E,20190660176,201901,625000,196.0476788,20,3188,2003,1,3,450,489170,489170,513629,20040107,http://www.asr.pima.gov/ParcelData/Map/Arm/T13S/M131523.PDF,0.84516799,-110.7813717,32.28621794,www.tucsonaz.gov/pro/pdsd/parcel_search/11421350E,http://gis.pima.gov/maps/detail.cfm?p=11421350E,85749
9752,2019,11421334D,20190850603,201902,614900,163.8422595,16,3753,2003,1,3,450,512942,512942,538589,20070803,http://www.asr.pima.gov/ParcelData/Map/Arm/T13S/M131523.PDF,1.05490005,-110.7775311,32.29062898,www.tucsonaz.gov/pro/pdsd/parcel_search/11421334D,http://gis.pima.gov/maps/detail.cfm?p=11421334D,85749
9753,2019,114213100,20192050145,201906,510000,178.6339755,17,2855,1983,3,2,450,360745,360745,378782,19900817,http://www.asr.pima.gov/ParcelData/Map/Arm/T13S/M131523.PDF,0.98573798,-110.778603,32.29446843,www.tucsonaz.gov/pro/pdsd/parcel_search/114213100,http://gis.pima.gov/maps/detail.cfm?p=114213100,85355
9754,2019,114212700,20191580705,201904,388000,169.3583588,16,2291,1980,6,5,0,276464,276464,298581,20181102,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.574157,-110.7728764,32.2933734,www.tucsonaz.gov/pro/pdsd/parcel_search/114212700,http://gis.pima.gov/maps/detail.cfm?p=114212700,43566
9755,2019,114212700,20191580705,201904,388000,169.3583588,16,2291,1980,6,5,0,276464,276464,298581,20181102,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.574157,-110.7728764,32.2933734,www.tucsonaz.gov/pro/pdsd/parcel_search/114212700,http://gis.pima.gov/maps/detail.cfm?p=114212700,43566
9756,2019,114212700,20191580705,201904,388000,169.3583588,16,2291,1980,6,5,0,276464,276464,298581,20181102,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.574157,-110.7728764,32.2933734,www.tucsonaz.gov/pro/pdsd/parcel_search/114212700,http://gis.pima.gov/maps/detail.cfm?p=114212700,43566
9757,2019,114212700,20191580705,201904,388000,169.3583588,16,2291,1980,6,5,0,276464,276464,298581,20181102,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.574157,-110.7728764,32.2933734,www.tucsonaz.gov/pro/pdsd/parcel_search/114212700,http://gis.pima.gov/maps/detail.cfm?p=114212700,43566
9758,2019,114212700,20191580705,201904,388000,169.3583588,16,2291,1980,6,5,0,276464,276464,298581,20181102,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.574157,-110.7728764,32.2933734,www.tucsonaz.gov/pro/pdsd/parcel_search/114212700,http://gis.pima.gov/maps/detail.cfm?p=114212700,43566
9759,2019,114212160,20192030008,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9760,2019,114212160,20192030008,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9761,2019,114212160,20192030008,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9762,2019,114212160,20192030008,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
